序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
786432,接收,12:06:20.290.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786433,接收,12:06:20.305.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786434,接收,12:06:20.305.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786435,接收,12:06:20.322.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D5 00 12 05 32 ,
786436,接收,12:06:20.337.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786437,接收,12:06:20.337.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786438,接收,12:06:20.353.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786439,接收,12:06:20.353.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786440,接收,12:06:20.369.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786441,接收,12:06:20.385.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786442,接收,12:06:20.385.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786443,接收,12:06:20.401.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786444,接收,12:06:20.416.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786445,接收,12:06:20.416.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786446,接收,12:06:20.432.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D5 00 12 05 32 ,
786447,接收,12:06:20.432.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786448,接收,12:06:20.448.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786449,接收,12:06:20.463.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786450,接收,12:06:20.463.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786451,接收,12:06:20.480.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786452,接收,12:06:20.495.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786453,接收,12:06:20.495.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786454,接收,12:06:20.511.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786455,接收,12:06:20.526.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786456,接收,12:06:20.526.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786457,接收,12:06:20.541.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786458,接收,12:06:20.542.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786459,接收,12:06:20.557.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D5 00 12 05 32 ,
786460,接收,12:06:20.572.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786461,接收,12:06:20.572.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786462,接收,12:06:20.589.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786463,接收,12:06:20.604.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D5 00 12 05 32 ,
786464,接收,12:06:20.604.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786465,接收,12:06:20.620.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786466,接收,12:06:20.635.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786467,接收,12:06:20.635.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786468,接收,12:06:20.651.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786469,接收,12:06:20.652.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D4 00 12 05 32 ,
786470,接收,12:06:20.667.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D5 00 12 05 32 ,
786471,接收,12:06:20.683.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786472,接收,12:06:20.683.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786473,接收,12:06:20.699.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786474,接收,12:06:20.714.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786475,接收,12:06:20.714.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D8 00 12 05 32 ,
786476,接收,12:06:20.730.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D9 00 12 05 32 ,
786477,接收,12:06:20.746.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D9 00 12 05 32 ,
786478,接收,12:06:20.746.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D9 00 12 05 32 ,
786479,接收,12:06:20.761.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D9 00 12 05 32 ,
786480,接收,12:06:20.761.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786481,接收,12:06:20.777.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786482,接收,12:06:20.793.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786483,接收,12:06:20.793.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786484,接收,12:06:20.808.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D6 00 12 05 32 ,
786485,接收,12:06:20.823.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786486,接收,12:06:20.824.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
786487,接收,12:06:20.838.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF D7 00 12 05 32 ,
