序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
720950,接收,13:21:09.149.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BF 00 12 05 32 ,
720951,接收,13:21:09.165.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C3 00 12 05 32 ,
720952,接收,13:21:09.165.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BE 00 12 05 32 ,
720953,接收,13:21:09.180.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AD 00 12 05 32 ,
720954,接收,13:21:09.195.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A6 00 12 05 32 ,
720955,接收,13:21:09.195.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AC 00 12 05 32 ,
720956,接收,13:21:09.211.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B1 00 12 05 32 ,
720957,接收,13:21:09.227.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A7 00 12 05 32 ,
720958,接收,13:21:09.227.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A3 00 12 05 32 ,
720959,接收,13:21:09.243.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AE 00 12 05 32 ,
720960,接收,13:21:09.243.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B8 00 12 05 32 ,
720961,接收,13:21:09.259.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B8 00 12 05 32 ,
720962,接收,13:21:09.274.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B9 00 12 05 32 ,
720963,接收,13:21:09.274.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BD 00 12 05 32 ,
720964,接收,13:21:09.291.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B6 00 12 05 32 ,
720965,接收,13:21:09.306.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AB 00 12 05 32 ,
720966,接收,13:21:09.306.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A2 00 12 05 32 ,
720967,接收,13:21:09.321.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 9F 00 12 05 32 ,
720968,接收,13:21:09.337.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 93 00 12 05 32 ,
720969,接收,13:21:09.337.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 8E 00 12 05 32 ,
720970,接收,13:21:09.353.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 9B 00 12 05 32 ,
720971,接收,13:21:09.353.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AE 00 12 05 32 ,
720972,接收,13:21:09.368.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B2 00 12 05 32 ,
720973,接收,13:21:09.384.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AF 00 12 05 32 ,
720974,接收,13:21:09.384.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B5 00 12 05 32 ,
720975,接收,13:21:09.399.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BC 00 12 05 32 ,
720976,接收,13:21:09.414.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BD 00 12 05 32 ,
720977,接收,13:21:09.414.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BA 00 12 05 32 ,
720978,接收,13:21:09.430.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BA 00 12 05 32 ,
720979,接收,13:21:09.446.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B4 00 12 05 32 ,
720980,接收,13:21:09.446.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A9 00 12 05 32 ,
720981,接收,13:21:09.462.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AB 00 12 05 32 ,
720982,接收,13:21:09.477.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B5 00 12 05 32 ,
720983,接收,13:21:09.477.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BB 00 12 05 32 ,
720984,接收,13:21:09.493.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B7 00 12 05 32 ,
720985,接收,13:21:09.493.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B6 00 12 05 32 ,
720986,接收,13:21:09.509.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B6 00 12 05 32 ,
720987,接收,13:21:09.524.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B7 00 12 05 32 ,
720988,接收,13:21:09.524.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F BD 00 12 05 32 ,
720989,接收,13:21:09.539.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F CA 00 12 05 32 ,
720990,接收,13:21:09.554.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F D0 00 12 05 32 ,
720991,接收,13:21:09.554.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F C2 00 12 05 32 ,
720992,接收,13:21:09.570.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B6 00 12 05 32 ,
720993,接收,13:21:09.584.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AE 00 12 05 32 ,
720994,接收,13:21:09.584.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A7 00 12 05 32 ,
720995,接收,13:21:09.600.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 98 00 12 05 32 ,
720996,接收,13:21:09.615.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 90 00 12 05 32 ,
720997,接收,13:21:09.615.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 95 00 12 05 32 ,
720998,接收,13:21:09.631.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 9C 00 12 05 32 ,
720999,接收,13:21:09.646.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A0 00 12 05 32 ,
721000,接收,13:21:09.646.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AA 00 12 05 32 ,
721001,接收,13:21:09.662.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B4 00 12 05 32 ,
721002,接收,13:21:09.662.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B5 00 12 05 32 ,
721003,接收,13:21:09.678.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F B1 00 12 05 32 ,
721004,接收,13:21:09.694.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F AE 00 12 05 32 ,
721005,接收,13:21:09.694.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A6 00 12 05 32 ,
721006,接收,13:21:09.709.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F 9B 00 12 05 32 ,
721007,接收,13:21:09.725.0,0x000003c2,标准帧,数据帧,0x08,7F FF 3F A1 00 12 05 32 ,
