序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1179648,接收,13:17:19.868.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 13 00 12 05 32 ,
1179649,接收,13:17:19.880.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 20 00 12 05 32 ,
1179650,接收,13:17:19.880.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 24 00 12 05 32 ,
1179651,接收,13:17:19.895.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 25 00 12 05 32 ,
1179652,接收,13:17:19.912.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 23 00 12 05 32 ,
1179653,接收,13:17:19.912.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 1E 00 12 05 32 ,
1179654,接收,13:17:19.927.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 1F 00 12 05 32 ,
1179655,接收,13:17:19.943.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 26 00 12 05 32 ,
1179656,接收,13:17:19.943.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 2A 00 12 05 32 ,
1179657,接收,13:17:19.959.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 28 00 12 05 32 ,
1179658,接收,13:17:19.975.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 27 00 12 05 32 ,
1179659,接收,13:17:19.975.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 2A 00 12 05 32 ,
1179660,接收,13:17:19.990.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 2E 00 12 05 32 ,
1179661,接收,13:17:19.990.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 32 00 12 05 32 ,
1179662,接收,13:17:20.006.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 30 00 12 05 32 ,
1179663,接收,13:17:20.021.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 25 00 12 05 32 ,
1179664,接收,13:17:20.021.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 18 00 12 05 32 ,
1179665,接收,13:17:20.037.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 15 00 12 05 32 ,
1179666,接收,13:17:20.052.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 17 00 12 05 32 ,
1179667,接收,13:17:20.052.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 1A 00 12 05 32 ,
1179668,接收,13:17:20.068.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 1B 00 12 05 32 ,
1179669,接收,13:17:20.084.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 17 00 12 05 32 ,
1179670,接收,13:17:20.084.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 13 00 12 05 32 ,
1179671,接收,13:17:20.100.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 0B 00 12 05 32 ,
1179672,接收,13:17:20.100.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 05 00 12 05 32 ,
1179673,接收,13:17:20.115.0,0x000003c2,标准帧,数据帧,0x08,7F FF 83 06 00 12 05 32 ,
