序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
3407926,接收,19:55:50.095.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 42 00 12 05 32 ,
3407927,接收,19:55:50.110.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 4E 00 12 05 32 ,
3407928,接收,19:55:50.110.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7C 00 12 05 32 ,
3407929,接收,19:55:50.126.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 AE 00 12 05 32 ,
3407930,接收,19:55:50.142.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 C9 00 12 05 32 ,
3407931,接收,19:55:50.142.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 DC 00 12 05 32 ,
3407932,接收,19:55:50.157.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 D5 00 12 05 32 ,
3407933,接收,19:55:50.173.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A0 00 12 05 32 ,
3407934,接收,19:55:50.173.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 57 00 12 05 32 ,
3407935,接收,19:55:50.187.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 4E 00 12 05 32 ,
3407936,接收,19:55:50.187.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 91 00 12 05 32 ,
3407937,接收,19:55:50.203.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 BA 00 12 05 32 ,
3407938,接收,19:55:50.218.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 94 00 12 05 32 ,
3407939,接收,19:55:50.218.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 55 00 12 05 32 ,
3407940,接收,19:55:50.232.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 5E 00 12 05 32 ,
3407941,接收,19:55:50.249.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 81 00 12 05 32 ,
3407942,接收,19:55:50.249.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 6F 00 12 05 32 ,
3407943,接收,19:55:50.265.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 48 00 12 05 32 ,
3407944,接收,19:55:50.280.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 6D 00 12 05 32 ,
3407945,接收,19:55:50.280.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 D0 00 12 05 32 ,
3407946,接收,19:55:50.295.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 E1 00 12 05 32 ,
3407947,接收,19:55:50.311.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 96 00 12 05 32 ,
3407948,接收,19:55:50.311.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 64 00 12 05 32 ,
3407949,接收,19:55:50.326.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 72 00 12 05 32 ,
3407950,接收,19:55:50.341.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 78 00 12 05 32 ,
3407951,接收,19:55:50.341.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 6F 00 12 05 32 ,
3407952,接收,19:55:50.357.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 8C 00 12 05 32 ,
3407953,接收,19:55:50.357.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B9 00 12 05 32 ,
3407954,接收,19:55:50.372.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B9 00 12 05 32 ,
3407955,接收,19:55:50.387.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 82 00 12 05 32 ,
3407956,接收,19:55:50.387.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 4E 00 12 05 32 ,
3407957,接收,19:55:50.402.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 65 00 12 05 32 ,
3407958,接收,19:55:50.417.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 9B 00 12 05 32 ,
3407959,接收,19:55:50.417.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 CC 00 12 05 32 ,
3407960,接收,19:55:50.433.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 D1 00 12 05 32 ,
3407961,接收,19:55:50.449.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B4 00 12 05 32 ,
3407962,接收,19:55:50.449.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 88 00 12 05 32 ,
3407963,接收,19:55:50.464.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 56 00 12 05 32 ,
3407964,接收,19:55:50.481.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 4A 00 12 05 32 ,
3407965,接收,19:55:50.481.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 69 00 12 05 32 ,
3407966,接收,19:55:50.496.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A4 00 12 05 32 ,
3407967,接收,19:55:50.497.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 C6 00 12 05 32 ,
3407968,接收,19:55:50.512.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 DC 00 12 05 32 ,
3407969,接收,19:55:50.527.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 E7 00 12 05 32 ,
3407970,接收,19:55:50.527.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 EC 00 12 05 32 ,
3407971,接收,19:55:50.544.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 CF 00 12 05 32 ,
3407972,接收,19:55:50.559.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 74 00 12 05 32 ,
3407973,接收,19:55:50.559.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 2A 00 12 05 32 ,
3407974,接收,19:55:50.575.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 29 00 12 05 32 ,
3407975,接收,19:55:50.576.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 86 00 12 05 32 ,
3407976,接收,19:55:50.591.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B7 00 12 05 32 ,
3407977,接收,19:55:50.607.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A5 00 12 05 32 ,
3407978,接收,19:55:50.607.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 8B 00 12 05 32 ,
3407979,接收,19:55:50.623.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 89 00 12 05 32 ,
3407980,接收,19:55:50.639.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7E 00 12 05 32 ,
3407981,接收,19:55:50.639.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 5D 00 12 05 32 ,
3407982,接收,19:55:50.654.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 65 00 12 05 32 ,
3407983,接收,19:55:50.670.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 95 00 12 05 32 ,
3407984,接收,19:55:50.670.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 9E 00 12 05 32 ,
3407985,接收,19:55:50.686.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7B 00 12 05 32 ,
3407986,接收,19:55:50.686.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 5F 00 12 05 32 ,
3407987,接收,19:55:50.702.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 72 00 12 05 32 ,
3407988,接收,19:55:50.717.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A1 00 12 05 32 ,
3407989,接收,19:55:50.717.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 AB 00 12 05 32 ,
3407990,接收,19:55:50.734.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 85 00 12 05 32 ,
3407991,接收,19:55:50.749.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 69 00 12 05 32 ,
3407992,接收,19:55:50.749.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 62 00 12 05 32 ,
3407993,接收,19:55:50.765.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 51 00 12 05 32 ,
3407994,接收,19:55:50.780.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 3F 00 12 05 32 ,
3407995,接收,19:55:50.780.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 54 00 12 05 32 ,
3407996,接收,19:55:50.796.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 86 00 12 05 32 ,
3407997,接收,19:55:50.796.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 BD 00 12 05 32 ,
3407998,接收,19:55:50.812.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 CA 00 12 05 32 ,
3407999,接收,19:55:50.826.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B9 00 12 05 32 ,
3408000,接收,19:55:50.826.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A4 00 12 05 32 ,
3408001,接收,19:55:50.842.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 8D 00 12 05 32 ,
3408002,接收,19:55:50.858.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7C 00 12 05 32 ,
3408003,接收,19:55:50.858.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 8B 00 12 05 32 ,
3408004,接收,19:55:50.873.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 BD 00 12 05 32 ,
3408005,接收,19:55:50.889.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 D6 00 12 05 32 ,
3408006,接收,19:55:50.889.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B0 00 12 05 32 ,
3408007,接收,19:55:50.904.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 6D 00 12 05 32 ,
3408008,接收,19:55:50.906.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 3C 00 12 05 32 ,
3408009,接收,19:55:50.920.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 36 00 12 05 32 ,
3408010,接收,19:55:50.935.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 38 00 12 05 32 ,
3408011,接收,19:55:50.935.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 35 00 12 05 32 ,
3408012,接收,19:55:50.951.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 43 00 12 05 32 ,
3408013,接收,19:55:50.967.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 69 00 12 05 32 ,
3408014,接收,19:55:50.967.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 76 00 12 05 32 ,
3408015,接收,19:55:50.982.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 81 00 12 05 32 ,
3408016,接收,19:55:50.997.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A2 00 12 05 32 ,
3408017,接收,19:55:50.997.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 E4 00 12 05 32 ,
3408018,接收,19:55:51.013.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 F9 00 12 05 32 ,
3408019,接收,19:55:51.029.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 C3 00 12 05 32 ,
3408020,接收,19:55:51.029.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 6E 00 12 05 32 ,
3408021,接收,19:55:51.043.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 50 00 12 05 32 ,
3408022,接收,19:55:51.060.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 43 00 12 05 32 ,
3408023,接收,19:55:51.060.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 27 00 12 05 32 ,
3408024,接收,19:55:51.074.0,0x000003c2,标准帧,数据帧,0x08,7F FF D3 F2 00 12 05 32 ,
3408025,接收,19:55:51.075.0,0x000003c2,标准帧,数据帧,0x08,7F FF D3 FF 00 12 05 32 ,
3408026,接收,19:55:51.089.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 5D 00 12 05 32 ,
3408027,接收,19:55:51.106.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A7 00 12 05 32 ,
3408028,接收,19:55:51.106.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B7 00 12 05 32 ,
3408029,接收,19:55:51.122.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A2 00 12 05 32 ,
3408030,接收,19:55:51.136.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B1 00 12 05 32 ,
3408031,接收,19:55:51.136.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 CC 00 12 05 32 ,
3408032,接收,19:55:51.152.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 BB 00 12 05 32 ,
3408033,接收,19:55:51.167.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 77 00 12 05 32 ,
3408034,接收,19:55:51.167.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 4E 00 12 05 32 ,
3408035,接收,19:55:51.182.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 3B 00 12 05 32 ,
3408036,接收,19:55:51.198.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 22 00 12 05 32 ,
3408037,接收,19:55:51.198.0,0x000003c2,标准帧,数据帧,0x08,7F FF D3 E9 00 12 05 32 ,
3408038,接收,19:55:51.213.0,0x000003c2,标准帧,数据帧,0x08,7F FF D3 EC 00 12 05 32 ,
3408039,接收,19:55:51.230.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 33 00 12 05 32 ,
3408040,接收,19:55:51.230.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 8B 00 12 05 32 ,
3408041,接收,19:55:51.244.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 A9 00 12 05 32 ,
3408042,接收,19:55:51.244.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B1 00 12 05 32 ,
3408043,接收,19:55:51.261.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B8 00 12 05 32 ,
3408044,接收,19:55:51.276.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 B3 00 12 05 32 ,
3408045,接收,19:55:51.276.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 92 00 12 05 32 ,
3408046,接收,19:55:51.292.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 70 00 12 05 32 ,
3408047,接收,19:55:51.307.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 85 00 12 05 32 ,
3408048,接收,19:55:51.307.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 96 00 12 05 32 ,
3408049,接收,19:55:51.324.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 66 00 12 05 32 ,
3408050,接收,19:55:51.324.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 34 00 12 05 32 ,
3408051,接收,19:55:51.340.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 40 00 12 05 32 ,
3408052,接收,19:55:51.355.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7F 00 12 05 32 ,
3408053,接收,19:55:51.355.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 CA 00 12 05 32 ,
3408054,接收,19:55:51.371.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 DE 00 12 05 32 ,
3408055,接收,19:55:51.386.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 E8 00 12 05 32 ,
3408056,接收,19:55:51.386.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 EA 00 12 05 32 ,
3408057,接收,19:55:51.403.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 C5 00 12 05 32 ,
3408058,接收,19:55:51.419.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 64 00 12 05 32 ,
3408059,接收,19:55:51.419.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 22 00 12 05 32 ,
3408060,接收,19:55:51.434.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 34 00 12 05 32 ,
3408061,接收,19:55:51.434.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 6D 00 12 05 32 ,
3408062,接收,19:55:51.451.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7F 00 12 05 32 ,
3408063,接收,19:55:51.465.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 56 00 12 05 32 ,
3408064,接收,19:55:51.465.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 44 00 12 05 32 ,
3408065,接收,19:55:51.481.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 78 00 12 05 32 ,
3408066,接收,19:55:51.498.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 89 00 12 05 32 ,
3408067,接收,19:55:51.498.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 66 00 12 05 32 ,
3408068,接收,19:55:51.513.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 59 00 12 05 32 ,
3408069,接收,19:55:51.513.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 75 00 12 05 32 ,
3408070,接收,19:55:51.528.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 77 00 12 05 32 ,
3408071,接收,19:55:51.544.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 47 00 12 05 32 ,
3408072,接收,19:55:51.544.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 33 00 12 05 32 ,
3408073,接收,19:55:51.559.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 66 00 12 05 32 ,
3408074,接收,19:55:51.574.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 96 00 12 05 32 ,
3408075,接收,19:55:51.574.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 7F 00 12 05 32 ,
3408076,接收,19:55:51.590.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 53 00 12 05 32 ,
3408077,接收,19:55:51.606.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 61 00 12 05 32 ,
3408078,接收,19:55:51.606.0,0x000003c2,标准帧,数据帧,0x08,7F FF D4 8F 00 12 05 32 ,
