序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
786487,接收,11:45:45.031.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5A 00 12 05 32 ,
786488,接收,11:45:45.046.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 52 00 12 05 32 ,
786489,接收,11:45:45.063.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 43 00 12 05 32 ,
786490,接收,11:45:45.063.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 34 00 12 05 32 ,
786491,接收,11:45:45.078.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 2B 00 12 05 32 ,
786492,接收,11:45:45.094.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 2B 00 12 05 32 ,
786493,接收,11:45:45.094.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 2B 00 12 05 32 ,
786494,接收,11:45:45.109.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 2D 00 12 05 32 ,
786495,接收,11:45:45.110.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 36 00 12 05 32 ,
786496,接收,11:45:45.125.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 41 00 12 05 32 ,
786497,接收,11:45:45.141.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 48 00 12 05 32 ,
786498,接收,11:45:45.141.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4D 00 12 05 32 ,
786499,接收,11:45:45.157.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4F 00 12 05 32 ,
786500,接收,11:45:45.174.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 52 00 12 05 32 ,
786501,接收,11:45:45.174.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 56 00 12 05 32 ,
786502,接收,11:45:45.189.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5B 00 12 05 32 ,
786503,接收,11:45:45.189.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5B 00 12 05 32 ,
786504,接收,11:45:45.204.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 50 00 12 05 32 ,
786505,接收,11:45:45.220.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 43 00 12 05 32 ,
786506,接收,11:45:45.220.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 36 00 12 05 32 ,
786507,接收,11:45:45.235.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 36 00 12 05 32 ,
786508,接收,11:45:45.251.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 3B 00 12 05 32 ,
786509,接收,11:45:45.251.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4A 00 12 05 32 ,
786510,接收,11:45:45.266.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 5A 00 12 05 32 ,
786511,接收,11:45:45.282.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 67 00 12 05 32 ,
786512,接收,11:45:45.282.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 6C 00 12 05 32 ,
786513,接收,11:45:45.297.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 71 00 12 05 32 ,
786514,接收,11:45:45.313.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 77 00 12 05 32 ,
786515,接收,11:45:45.313.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 72 00 12 05 32 ,
786516,接收,11:45:45.329.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 65 00 12 05 32 ,
786517,接收,11:45:45.330.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 54 00 12 05 32 ,
786518,接收,11:45:45.343.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 53 00 12 05 32 ,
786519,接收,11:45:45.359.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 55 00 12 05 32 ,
786520,接收,11:45:45.359.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 54 00 12 05 32 ,
786521,接收,11:45:45.375.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 54 00 12 05 32 ,
786522,接收,11:45:45.390.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 52 00 12 05 32 ,
786523,接收,11:45:45.390.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4C 00 12 05 32 ,
786524,接收,11:45:45.405.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 3D 00 12 05 32 ,
786525,接收,11:45:45.420.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 3B 00 12 05 32 ,
786526,接收,11:45:45.420.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 41 00 12 05 32 ,
786527,接收,11:45:45.436.0,0x000003c2,标准帧,数据帧,0x08,80 00 B0 4A 00 12 05 32 ,
