序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
2621494,接收,16:29:05.397.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 06 00 12 05 32 ,
2621495,接收,16:29:05.413.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FE 00 12 05 32 ,
2621496,接收,16:29:05.413.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F9 00 12 05 32 ,
2621497,接收,16:29:05.429.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FA 00 12 05 32 ,
2621498,接收,16:29:05.444.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 01 00 12 05 32 ,
2621499,接收,16:29:05.444.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 09 00 12 05 32 ,
2621500,接收,16:29:05.460.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0B 00 12 05 32 ,
2621501,接收,16:29:05.476.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0A 00 12 05 32 ,
2621502,接收,16:29:05.476.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0A 00 12 05 32 ,
2621503,接收,16:29:05.492.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 08 00 12 05 32 ,
2621504,接收,16:29:05.507.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 02 00 12 05 32 ,
2621505,接收,16:29:05.507.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FC 00 12 05 32 ,
2621506,接收,16:29:05.523.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F9 00 12 05 32 ,
2621507,接收,16:29:05.523.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F9 00 12 05 32 ,
2621508,接收,16:29:05.538.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FB 00 12 05 32 ,
2621509,接收,16:29:05.554.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FB 00 12 05 32 ,
2621510,接收,16:29:05.554.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F7 00 12 05 32 ,
2621511,接收,16:29:05.570.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F0 00 12 05 32 ,
2621512,接收,16:29:05.586.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 E3 00 12 05 32 ,
2621513,接收,16:29:05.586.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 DB 00 12 05 32 ,
2621514,接收,16:29:05.601.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 DB 00 12 05 32 ,
2621515,接收,16:29:05.617.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 DF 00 12 05 32 ,
2621516,接收,16:29:05.617.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 E0 00 12 05 32 ,
2621517,接收,16:29:05.633.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 E1 00 12 05 32 ,
2621518,接收,16:29:05.633.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 E8 00 12 05 32 ,
2621519,接收,16:29:05.647.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F5 00 12 05 32 ,
2621520,接收,16:29:05.663.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FB 00 12 05 32 ,
2621521,接收,16:29:05.663.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F9 00 12 05 32 ,
2621522,接收,16:29:05.679.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F3 00 12 05 32 ,
2621523,接收,16:29:05.695.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F0 00 12 05 32 ,
2621524,接收,16:29:05.695.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F3 00 12 05 32 ,
2621525,接收,16:29:05.710.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F2 00 12 05 32 ,
2621526,接收,16:29:05.726.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 EB 00 12 05 32 ,
2621527,接收,16:29:05.726.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 E3 00 12 05 32 ,
2621528,接收,16:29:05.742.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 E0 00 12 05 32 ,
2621529,接收,16:29:05.742.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 DE 00 12 05 32 ,
2621530,接收,16:29:05.758.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 DC 00 12 05 32 ,
2621531,接收,16:29:05.772.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 DB 00 12 05 32 ,
2621532,接收,16:29:05.772.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 E2 00 12 05 32 ,
2621533,接收,16:29:05.788.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 EB 00 12 05 32 ,
2621534,接收,16:29:05.804.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 F6 00 12 05 32 ,
2621535,接收,16:29:05.804.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FD 00 12 05 32 ,
2621536,接收,16:29:05.820.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 02 00 12 05 32 ,
2621537,接收,16:29:05.835.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 05 00 12 05 32 ,
2621538,接收,16:29:05.835.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 03 00 12 05 32 ,
2621539,接收,16:29:05.851.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FD 00 12 05 32 ,
2621540,接收,16:29:05.851.0,0x000003c2,标准帧,数据帧,0x08,7F FF D1 FE 00 12 05 32 ,
2621541,接收,16:29:05.867.0,0x000003c2,标准帧,数据帧,0x08,7F FF D2 0A 00 12 05 32 ,
