序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
524343,接收,15:18:59.432.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524344,接收,15:18:59.432.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524345,接收,15:18:59.448.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524346,接收,15:18:59.463.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524347,接收,15:18:59.463.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524348,接收,15:18:59.479.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524349,接收,15:18:59.495.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524350,接收,15:18:59.495.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524351,接收,15:18:59.511.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524352,接收,15:18:59.512.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524353,接收,15:18:59.527.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524354,接收,15:18:59.543.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524355,接收,15:18:59.543.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524356,接收,15:18:59.559.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FA 00 12 05 32 ,
524357,接收,15:18:59.575.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FA 00 12 05 32 ,
524358,接收,15:18:59.575.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524359,接收,15:18:59.591.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524360,接收,15:18:59.606.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524361,接收,15:18:59.606.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524362,接收,15:18:59.622.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524363,接收,15:18:59.622.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524364,接收,15:18:59.637.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524365,接收,15:18:59.653.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524366,接收,15:18:59.653.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524367,接收,15:18:59.669.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524368,接收,15:18:59.685.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524369,接收,15:18:59.685.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524370,接收,15:18:59.701.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524371,接收,15:18:59.716.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524372,接收,15:18:59.716.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524373,接收,15:18:59.731.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524374,接收,15:18:59.731.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524375,接收,15:18:59.746.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524376,接收,15:18:59.762.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524377,接收,15:18:59.762.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524378,接收,15:18:59.778.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524379,接收,15:18:59.794.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524380,接收,15:18:59.794.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524381,接收,15:18:59.809.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524382,接收,15:18:59.824.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524383,接收,15:18:59.824.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524384,接收,15:18:59.840.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524385,接收,15:18:59.840.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524386,接收,15:18:59.855.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524387,接收,15:18:59.871.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524388,接收,15:18:59.871.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524389,接收,15:18:59.887.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524390,接收,15:18:59.902.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524391,接收,15:18:59.902.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524392,接收,15:18:59.918.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524393,接收,15:18:59.934.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524394,接收,15:18:59.934.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524395,接收,15:18:59.949.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524396,接收,15:18:59.964.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524397,接收,15:18:59.964.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524398,接收,15:18:59.980.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524399,接收,15:18:59.980.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524400,接收,15:18:59.996.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524401,接收,15:19:00.011.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524402,接收,15:19:00.011.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524403,接收,15:19:00.025.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524404,接收,15:19:00.041.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524405,接收,15:19:00.041.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524406,接收,15:19:00.056.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524407,接收,15:19:00.073.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524408,接收,15:19:00.073.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524409,接收,15:19:00.088.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524410,接收,15:19:00.104.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524411,接收,15:19:00.104.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524412,接收,15:19:00.119.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524413,接收,15:19:00.119.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524414,接收,15:19:00.135.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524415,接收,15:19:00.151.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524416,接收,15:19:00.151.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524417,接收,15:19:00.167.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524418,接收,15:19:00.183.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524419,接收,15:19:00.183.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524420,接收,15:19:00.198.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524421,接收,15:19:00.214.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524422,接收,15:19:00.214.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524423,接收,15:19:00.229.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524424,接收,15:19:00.229.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524425,接收,15:19:00.245.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524426,接收,15:19:00.260.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524427,接收,15:19:00.260.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524428,接收,15:19:00.276.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524429,接收,15:19:00.292.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524430,接收,15:19:00.292.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524431,接收,15:19:00.308.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524432,接收,15:19:00.323.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524433,接收,15:19:00.323.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524434,接收,15:19:00.339.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524435,接收,15:19:00.339.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524436,接收,15:19:00.355.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524437,接收,15:19:00.371.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524438,接收,15:19:00.371.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524439,接收,15:19:00.387.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524440,接收,15:19:00.402.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524441,接收,15:19:00.402.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524442,接收,15:19:00.418.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524443,接收,15:19:00.418.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524444,接收,15:19:00.434.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524445,接收,15:19:00.450.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524446,接收,15:19:00.450.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524447,接收,15:19:00.466.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524448,接收,15:19:00.481.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524449,接收,15:19:00.481.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524450,接收,15:19:00.496.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524451,接收,15:19:00.512.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524452,接收,15:19:00.512.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524453,接收,15:19:00.528.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524454,接收,15:19:00.528.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524455,接收,15:19:00.544.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524456,接收,15:19:00.560.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524457,接收,15:19:00.560.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524458,接收,15:19:00.576.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524459,接收,15:19:00.592.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524460,接收,15:19:00.592.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524461,接收,15:19:00.608.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524462,接收,15:19:00.608.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524463,接收,15:19:00.624.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524464,接收,15:19:00.639.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524465,接收,15:19:00.639.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524466,接收,15:19:00.655.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524467,接收,15:19:00.670.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 01 00 12 05 32 ,
524468,接收,15:19:00.670.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 02 00 12 05 32 ,
524469,接收,15:19:00.687.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 01 00 12 05 32 ,
524470,接收,15:19:00.687.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524471,接收,15:19:00.703.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524472,接收,15:19:00.718.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524473,接收,15:19:00.718.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524474,接收,15:19:00.734.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524475,接收,15:19:00.748.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524476,接收,15:19:00.748.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524477,接收,15:19:00.763.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524478,接收,15:19:00.779.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524479,接收,15:19:00.779.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524480,接收,15:19:00.794.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524481,接收,15:19:00.810.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524482,接收,15:19:00.810.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524483,接收,15:19:00.825.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524484,接收,15:19:00.841.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524485,接收,15:19:00.841.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524486,接收,15:19:00.856.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524487,接收,15:19:00.857.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524488,接收,15:19:00.871.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524489,接收,15:19:00.888.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524490,接收,15:19:00.888.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524491,接收,15:19:00.904.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524492,接收,15:19:00.918.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524493,接收,15:19:00.918.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524494,接收,15:19:00.935.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524495,接收,15:19:00.949.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524496,接收,15:19:00.949.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524497,接收,15:19:00.964.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524498,接收,15:19:00.981.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524499,接收,15:19:00.981.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524500,接收,15:19:00.996.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524501,接收,15:19:00.996.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524502,接收,15:19:01.012.0,0x000003c2,标准帧,数据帧,0x08,80 00 00 00 00 12 05 32 ,
524503,接收,15:19:01.028.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524504,接收,15:19:01.028.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524505,接收,15:19:01.044.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524506,接收,15:19:01.060.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524507,接收,15:19:01.060.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524508,接收,15:19:01.075.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524509,接收,15:19:01.076.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524510,接收,15:19:01.091.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524511,接收,15:19:01.107.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FF 00 12 05 32 ,
524512,接收,15:19:01.107.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FE 00 12 05 32 ,
524513,接收,15:19:01.121.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524514,接收,15:19:01.137.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524515,接收,15:19:01.137.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524516,接收,15:19:01.152.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524517,接收,15:19:01.168.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524518,接收,15:19:01.168.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524519,接收,15:19:01.183.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524520,接收,15:19:01.199.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524521,接收,15:19:01.199.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524522,接收,15:19:01.214.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524523,接收,15:19:01.230.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524524,接收,15:19:01.230.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524525,接收,15:19:01.246.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524526,接收,15:19:01.246.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524527,接收,15:19:01.262.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524528,接收,15:19:01.278.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524529,接收,15:19:01.278.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FD 00 12 05 32 ,
524530,接收,15:19:01.293.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FC 00 12 05 32 ,
524531,接收,15:19:01.309.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
524532,接收,15:19:01.309.0,0x000003c2,标准帧,数据帧,0x08,7F FF FF FB 00 12 05 32 ,
